year,event,total_laps,sc_deploys,vsc_deploys,red_flags,any_sc,any_vsc,first_sc_lap,laps_under_sc,laps_under_vsc
2022,Bahrain Grand Prix,57,1,1,0,True,True,44.0,7,3
2022,Saudi Arabian Grand Prix,50,1,2,0,True,True,15.0,6,8
2022,Australian Grand Prix,58,2,2,0,True,True,3.0,8,4
2022,Emilia Romagna Grand Prix,63,1,0,0,True,False,1.0,4,0
2022,Miami Grand Prix,57,1,1,0,True,True,40.0,7,3
2022,Spanish Grand Prix,66,0,0,0,False,False,,0,0
2022,Monaco Grand Prix,64,2,1,2,True,True,1.0,8,3
2022,Azerbaijan Grand Prix,51,0,2,0,False,True,,0,6
2022,Canadian Grand Prix,70,1,2,0,True,True,48.0,7,5
2022,British Grand Prix,52,1,0,1,True,False,38.0,5,0
2022,Austrian Grand Prix,71,0,1,0,False,True,,0,3
2022,French Grand Prix,53,1,1,0,True,True,18.0,3,3
2022,Hungarian Grand Prix,70,0,2,0,False,True,,0,7
2022,Belgian Grand Prix,44,1,0,0,True,False,2.0,3,0
2022,Dutch Grand Prix,72,1,1,0,True,True,54.0,7,5
2022,Italian Grand Prix,53,1,1,0,True,True,46.0,8,2
2022,Singapore Grand Prix,59,2,3,0,True,True,7.0,9,9
2022,Japanese Grand Prix,29,1,0,1,True,False,1.0,2,0
2022,United States Grand Prix,56,2,0,0,True,False,17.0,9,0
2022,Mexico City Grand Prix,71,0,1,0,False,True,,0,4
2022,São Paulo Grand Prix,71,2,1,0,True,True,1.0,13,4
2022,Abu Dhabi Grand Prix,58,0,0,0,False,False,,0,0
2023,Bahrain Grand Prix,57,0,1,0,False,True,,0,3
2023,Saudi Arabian Grand Prix,50,1,0,0,True,False,17.0,4,0
2023,Australian Grand Prix,58,3,1,4,True,True,1.0,9,2
2023,Azerbaijan Grand Prix,51,1,0,0,True,False,10.0,4,0
2023,Miami Grand Prix,57,0,0,0,False,False,,0,0
2023,Monaco Grand Prix,78,0,0,0,False,False,,0,0
2023,Spanish Grand Prix,66,0,0,0,False,False,,0,0
2023,Canadian Grand Prix,70,1,1,0,True,True,12.0,5,2
2023,Austrian Grand Prix,71,1,1,0,True,True,1.0,3,4
2023,British Grand Prix,52,1,1,0,True,True,32.0,7,2
2023,Hungarian Grand Prix,70,0,0,0,False,False,,0,0
2023,Belgian Grand Prix,44,0,0,0,False,False,,0,0
2023,Dutch Grand Prix,72,2,1,1,True,True,15.0,10,3
2023,Italian Grand Prix,51,0,0,0,False,False,,0,0
2023,Singapore Grand Prix,62,1,1,0,True,True,19.0,4,3
2023,Japanese Grand Prix,53,1,1,0,True,True,1.0,4,2
2023,Qatar Grand Prix,57,1,0,0,True,False,1.0,4,0
2023,United States Grand Prix,56,0,0,0,False,False,,0,0
2023,Mexico City Grand Prix,71,2,1,1,True,True,32.0,4,2
2023,São Paulo Grand Prix,71,1,0,1,True,False,1.0,2,0
2023,Las Vegas Grand Prix,50,2,1,0,True,True,3.0,7,2
2023,Abu Dhabi Grand Prix,58,0,0,0,False,False,,0,0
2024,Bahrain Grand Prix,57,0,0,0,False,False,,0,0
2024,Saudi Arabian Grand Prix,50,1,0,0,True,False,6.0,4,0
2024,Australian Grand Prix,58,0,2,0,False,True,,0,6
2024,Japanese Grand Prix,53,0,0,1,False,False,,0,0
2024,Chinese Grand Prix,56,2,1,0,True,True,23.0,9,3
2024,Miami Grand Prix,57,1,1,0,True,True,28.0,5,2
2024,Emilia Romagna Grand Prix,63,0,0,0,False,False,,0,0
2024,Monaco Grand Prix,78,1,0,1,True,False,1.0,2,0
2024,Canadian Grand Prix,70,2,0,0,True,False,24.0,13,0
2024,Spanish Grand Prix,66,0,0,0,False,False,,0,0
2024,Austrian Grand Prix,71,0,1,0,False,True,,0,3
2024,British Grand Prix,52,0,0,0,False,False,,0,0
2024,Hungarian Grand Prix,70,0,0,0,False,False,,0,0
2024,Belgian Grand Prix,44,0,0,0,False,False,,0,0
2024,Dutch Grand Prix,72,0,0,0,False,False,,0,0
2024,Italian Grand Prix,53,0,0,0,False,False,,0,0
2024,Azerbaijan Grand Prix,51,0,1,0,False,True,,0,3
2024,Singapore Grand Prix,62,0,0,0,False,False,,0,0
2024,United States Grand Prix,56,1,0,0,True,False,2.0,4,0
2024,Mexico City Grand Prix,71,1,0,0,True,False,1.0,6,0
2024,São Paulo Grand Prix,69,2,1,1,True,True,28.0,9,2
2024,Las Vegas Grand Prix,50,0,0,0,False,False,,0,0
2024,Qatar Grand Prix,57,3,1,0,True,True,1.0,13,1
2024,Abu Dhabi Grand Prix,58,0,1,0,False,True,,0,2
2025,Australian Grand Prix,57,3,0,0,True,False,1.0,22,0
2025,Chinese Grand Prix,56,0,0,0,False,False,,0,0
2025,Japanese Grand Prix,53,0,0,0,False,False,,0,0
2025,Bahrain Grand Prix,57,1,0,0,True,False,32.0,4,0
2025,Saudi Arabian Grand Prix,50,1,0,0,True,False,1.0,3,0
2025,Miami Grand Prix,57,0,3,0,False,True,,0,9
2025,Emilia Romagna Grand Prix,63,1,1,0,True,True,45.0,9,4
2025,Monaco Grand Prix,78,0,1,0,False,True,,0,4
2025,Spanish Grand Prix,66,1,0,0,True,False,54.0,7,0
2025,Canadian Grand Prix,70,1,0,0,True,False,66.0,5,0
2025,Austrian Grand Prix,70,1,0,0,True,False,1.0,3,0
2025,British Grand Prix,52,2,2,0,True,True,13.0,9,7
2025,Belgian Grand Prix,44,1,0,1,True,False,1.0,4,0
2025,Hungarian Grand Prix,70,0,0,0,False,False,,0,0
2025,Dutch Grand Prix,72,3,1,0,True,True,22.0,15,3
2025,Italian Grand Prix,53,0,0,0,False,False,,0,0
2025,Azerbaijan Grand Prix,51,1,0,0,True,False,1.0,4,0
2025,Singapore Grand Prix,62,0,0,0,False,False,,0,0
2025,United States Grand Prix,56,0,1,0,False,True,,0,3
2025,Mexico City Grand Prix,71,0,1,0,False,True,,0,4
2025,São Paulo Grand Prix,71,1,1,0,True,True,2.0,4,3
2025,Las Vegas Grand Prix,50,0,2,0,False,True,,0,5
2025,Qatar Grand Prix,57,1,0,0,True,False,7.0,4,0
2025,Abu Dhabi Grand Prix,58,0,0,0,False,False,,0,0
2026,Australian Grand Prix,58,0,3,0,False,True,,0,13
2026,Chinese Grand Prix,56,1,0,0,True,False,10.0,4,0
2026,Japanese Grand Prix,53,1,0,0,True,False,21.0,7,0
2026,Miami Grand Prix,57,1,0,0,True,False,5.0,7,0
2026,Canadian Grand Prix,68,0,3,0,False,True,,0,15
2026,Monaco Grand Prix,78,3,0,1,True,False,57.0,14,0
2026,Barcelona Grand Prix,66,0,2,0,False,True,,0,15
2026,Austrian Grand Prix,71,0,2,0,False,True,,0,7
2026,British Grand Prix,52,1,2,0,True,True,45.0,8,7
